	name_last	name_first	player_id	year	grades	report	category	drafted	eta	position	positions	preseason100	preseason20	prospect_year	rank	school	signed	team_file_code	key_mlbam	key_retro	key_bbref	key_fangraphs	mlb_played_first	mlb_played_last
10	bradley	archie	605151	2013	{'Fastball': '6', 'Curveball': '4', 'Changeup': '4', 'Control': '3', 'Overall': '5'}	By all accounts, Bradley's first full season in pro ball was a success, as the second Oklahoma high schooler taken in the top 10 of the 2011 Draft was a Midwest League All-Star and finished second in the Minors with a .181 batting average against. He finished second in the league in strikeouts and while he also topped the circuit in walks, he projects to have at least average command. His fastball, which tops out at 95 mph, has some serious sink to generate groundball outs. His curve has sharp bite to it, though he doesn't always command it well. He has a feel for a changeup with some fade to it, giving him the chance to have three average or better offerings at his disposal. Very athletic - he was a standout QB in high school - that should allow him to maximize his tools on the mound.	prospects	2011, 1st (7) - ARI	2015	RHP	RHP	24	2	2013	7			ARI	605151.0	brada001	bradlar01	12918.0	2015.0	2019.0
11	bradley	archie	605151	2014	{'Fastball': '70', 'Curveball': '65', 'Changeup': '50', 'Control': '50', 'Overall': '65'}	Bradley throws his fastball in the mid 90s, and he can reach the upper 90s when he needs to. The steep downhill angle he throws from and the good sinking action on the pitch combine to produce a lot of ground balls. Bradley complements his plus fastball with an above-average 12-to-6 curveball, and a changeup that will likely be at least a Major League-average offering. Bradley has improved his command, and he earns praise for his demeanor on the mound. His stuff, size and makeup make him one of the best pitchers in the Minor Leagues. Elbow soreness slowed Bradley's progress in the first half, but he has looked as good as ever since getting back on the mound.	prospects	2011, 1st (7) - ARI	2014	RHP	RHP	5	1	2014	9			ARI	605151.0	brada001	bradlar01	12918.0	2015.0	2019.0
12	bradley	archie	605151	2015	{'Fastball': '65', 'Curveball': '60', 'Slider': '50', 'Changeup': '50', 'Control': '45', 'Overall': '55'}	After a year of immense struggles in 2014, both with an elbow issue and poor performances, Bradley seemed to put it all behind him when he made the big league rotation in 2015 and beat Clayton Kershaw in his debut. Bradley then took a line drive off of his head a few starts later, then dealt with a shoulder problem to derail him yet again.  The good news for the 2011 first-rounder is he finished off the season with two solid starts in Triple-A and threw well in instructional league play. He'll also be just 23 for most of the 2016 season and his pure stuff keeps bouncing back. He's still capable of hitting the mid-90s consistently with his fastball and using his 6-foot-4 frame to throw downhill. His power curveball can miss bats while his changeup and the slider/cutter type pitch he added in the Arizona Fall League in 2014 give him two more potential Major League average offerings.  Command continues to be the biggest issue for Bradley, whose walk rate has kept him from working deep into starts. Some foresee a move to the bullpen as a result, but it's too early to give up on him as a starter.	prospects	2011, 1st (7) - ARI	2016	RHP	RHP	15	1	2015	39			ARI	605151.0	brada001	bradlar01	12918.0	2015.0	2019.0
13	correa	carlos	621043	2013	{'Hit': '3', 'Power': '4', 'Run': '6', 'Arm': '7', 'Field': '5', 'Overall': '5'}	Don't think the selection of Correa as the top overall pick in the 2012 Draft was simply a money-saver for the Astros. Sure, it allowed them to be more creative with later selections, but Correa was one of the most talented players in the Draft class. He can flat out play shortstop, with at least above-average tools defensively, from his range and actions to his plus arm. While his glove is ahead of his overall offensive skillset right now, he's far from being a defense-only guy. He's an above-average runner now, though he might slow down a tick over time. He has the chance to have above-average power at a premium position. The biggest question is over how much he'll hit. Even if he's just an average hitter, with his other tools, that makes him an elite shortstop in the future, and with off-the-charts makeup and work ethic, it might be a mistake to underestimate what his ceiling is.	prospects	2012, 1st (1) - HOU	2016	SS	SS	30	2	2013	8			HOU	621043.0	corrc001	correca01	14162.0	2015.0	2019.0
14	correa	carlos	621043	2014	{'Hit': '60', 'Power': '70', 'Run': '50', 'Arm': '70', 'Field': '50', 'Overall': '70'}	In a Draft class that also included Byron Buxton and Mark Appel, Correa was something of a surprise as the No. 1 overall pick by the Astros in 2012. But Correa was worthy of the selection, and he showed why in 2013, his first full professional season. As an 18-year-old, Correa helped lead Class A Quad Cities to the Midwest League title, and he led the circuit with a .872 OPS. He was on his way to a similar performance in 2014 when a broken right fibula ended his season.  Though Correa is still physically maturing, he already has above-average power. Correa has a balanced swing and he has a good approach at the plate. He is an average runner. Correa has a strong arm, soft hands and good defensive instincts, all of which could help him stay at shortstop. Some scouts feel he will outgrow the position, but so far, he has shown he can handle shortstop.   Correa earns high marks for his work ethic and makeup, which will help him bounce back from his injury. He has a chance to be an impact player regardless of his future position.	prospects	2012, 1st (1) - HOU	2016	SS	SS	8	1	2014	2			HOU	621043.0	corrc001	correca01	14162.0	2015.0	2019.0
15	baez	javier	595879	2013	{'Hit': '4', 'Power': '4', 'Run': '5', 'Arm': '6', 'Field': '4', 'Overall': '5'}	When two high school shortstops are taken one spot after another, it's bound to create comparison and competition. Perhaps people will take sides in the Javier Baez vs. Francisco Lindor debate for years, but there's no question both are extremely talented young middle infielders. Baez didn't head to full-season ball right away, but when he did, he quickly hit his way up a level, then showed off some pop in the Arizona Fall League before getting hurt. Baez has plus bat speed that should allow him to hit for a ton of power and average, especially if he can refine his approach and gain better plate discipline. Many were ready to move Baez to third right away, but he showed some ability at shortstop, with a very good arm and good hands. His instincts allow his average speed to play up on both sides of the ball. Even if he has to move to third, his bat should profile just fine there.  Bernie Pleskoff's scouting report »	prospects	2011, 1st (9) - CHC	2014	SS	SS	16	1	2013	9			CHC	595879.0	baezj001	baezja01	12979.0	2014.0	2019.0
16	taillon	jameson	592791	2013	{'Fastball': '6', 'Curveball': '4', 'Changeup': '4', 'Control': '4', 'Overall': '5'}	Pirates fans who are eagerly anticipating the arrival of the one-two punch of Gerrit Cole and Jameson Taillon shouldn't have to wait too much longer. The big right-hander who came from the Texas high school ranks finished the season in Double-A, with three outstanding starts to finish the year. His fastball is a plus pitch and he'll touch 96-97 mph with it. Taillon's secondary stuff is still developing, but both his breaking ball and offspeed offering have the chance to be above-average pitches. He gained more confidence in his curve as the year went on and he showed better feel for his changeup as well. Taillon is still growing into his body and tweaking his delivery, leading to some overall command issues, though that shouldn't be a long-term concern. Another year of experience under his belt might be all he needs to be ready for Pittsburgh.	prospects	2010, 1st (2) - PIT	2014	RHP	RHP	15	2	2013	10			PIT	592791.0	tailj001	taillja01	11674.0	2016.0	2019.0
17	taillon	jameson	592791	2014	{'Fastball': '65', 'Curveball': '60', 'Changeup': '55', 'Control': '55', 'Overall': '60'}	Taillon was sandwiched between Bryce Harper and Manny Machado in the 2010 Draft. Harper and Machado are both already All-Stars. Taillon was on the verge of joining them in the Major Leagues before it was discovered that he needed Tommy John surgery in April 2014. Taillon is a classic power right-hander, mixing good size with a mid-90s fastball and a hard curveball. His changeup has also made strides, giving him a chance for three above-average pitches. Taillon's fastball has good sinking action, but it tends to flatten out and become easier to hit if he leaves it up in the zone. Taillon commands his pitches well and earns praise for his poise and confidence on the mound. The Bucs hope he will be able to join Gerrit Cole at the front of their big league rotation once he recovers from surgery.	prospects	2010, 1st (2) - PIT	2014	RHP	RHP	16	2	2014	28			PIT	592791.0	tailj001	taillja01	11674.0	2016.0	2019.0
18	taillon	jameson	592791	2015	{'Fastball': '65', 'Curveball': '60', 'Changeup': '55', 'Control': '50', 'Overall': '55'}	Taillon's developmental path had him poised to make his big league debut in 2014 after a 2013 season that saw him reach Triple-A. Instead, Taillon had Tommy John surgery in early April and missed the entire season. Surgery and rehab went well, and he was working his way back to pitching competitively 2015 when an inguinal hernia required surgery in July.   When healthy, Taillon has three above-average to plus pitches at his disposal, all coming from a big 6-foot-5 frame. His fastball sits in the mid 90s, and he maintains his velocity deep into starts. He has an outstanding curve, a big overhand breaking ball that can miss bats as well. His changeup hasn't been as consistent, but it has shown flashes of being at least a Major League average pitch. While wildness hasn't been a real issue, Taillon's overall command hadn't been as sharp.   Command and feel for pitching often is what takes the longest to come back post-surgery. The good news is that, at age 23 for all of the 2015 season, Taillon is still ahead of the curve.	prospects	2010, 1st (2) - PIT	2016	RHP	RHP	31	2	2015	45			PIT	592791.0	tailj001	taillja01	11674.0	2016.0	2019.0
19	castellanos	nick	592206	2013	{'Hit': '5', 'Power': '5', 'Run': '4', 'Arm': '5', 'Field': '4', 'Overall': '5'}	Ever since the Tigers took him and gave him a way above-slot bonus in 2010, Castellanos has hit his way quickly up the organizational ladder, reaching Double-A in 2012 and winning Futures Game MVP honors along the way. He can flat-out hit, adjusting extremely well to any and all pitching. He drives the ball to all fields and while he hasn't shown too much in the way of home run power to date, there is definitely pop in his bat that will come. Castellanos started his pro career as a third baseman and could have been an average defender there, but he moved to the outfield in 2012, largely to find the quickest path to the big leagues for his bat. There isn't a spot waiting for him just yet, but don't be surprised if he hits his way into Detroit's plans in the near future.  Bernie Pleskoff's scouting report »	prospects	2010, 1st (44) - DET	2013	OF	OF	21	1	2013	11			DET	592206.0	castn001	casteni01	11737.0	2013.0	2019.0
20	syndergaard	noah	592789	2013	{'Fastball': '6', 'Curveball': '4', 'Changeup': '5', 'Control': '4', 'Overall': '5'}	Syndergaard has dominated professional hitters since the Blue Jays took him 38th overall in 2010. He was a key piece of the deal that sent R.A. Dickey to Toronto in December 2012, and he started the Futures Game for the U.S. team the next summer. Snydergaard uses his height well, throwing downhill with some movement. Though his fastball is plus, thrown up to 96 mph consistently, he's more than just a thrower. His power curve has improved as he's added velocity to it, and it could be an above-average breaking ball in the future. He has a power changeup as well, which is still a work in progress but could give him a third above-average offering. Despite his size, he has an easy delivery and he throws strikes. His combination of stuff, pitchability and aggressiveness on the mound point to a future as a frontline starter.	prospects	2010, 1st (38) - TOR	2014	RHP	RHP	29	3	2013	12			NYM	592789.0	syndn001	syndeno01	11762.0	2015.0	2019.0
21	syndergaard	noah	592789	2014	{'Fastball': '70', 'Curveball': '60', 'Changeup': '55', 'Control': '60', 'Overall': '65'}	After being acquired by the Mets in the R.A. Dickey deal in December 2012, Syndergaard made a splash in his first season in his new organization. He reached Double-A Binghamton and started the 2013 All-Star Futures Game at Citi Field for the U.S. team. Syndergaard is a classic power right-hander, and he uses his big frame to throw downhill and induce ground balls. His fastball regularly reaches 98 mph and runs inside on right-handed hitters. Syndergaard's 12-to-6 curveball is his best secondary pitch, though his changeup has the potential to be a third plus pitch in his arsenal. He has excellent command and posted a 4.75 K-to-BB ratio in 2013. Many expected Syndergaard to follow the path that Matt Harvey and Zack Wheeler blazed and reach Queens early this summer. But some minor injuries and on-field struggles at Triple-A Las Vegas slowed down Syndergaard's progress this season. He still profiles as a front-line starter and remains on track to make his Major League debut at a younger age than either Harvey or Wheeler.	prospects	2010, 1st Sup (38) - TOR	2014	RHP	RHP	11	1	2014	10			NYM	592789.0	syndn001	syndeno01	11762.0	2015.0	2019.0
22	polanco	gregory	570256	2013	{'Hit': '4', 'Power': '4', 'Run': '7', 'Arm': '4', 'Field': '5', 'Overall': '4'}	There were few prospects in all of the Minor Leagues who broke out more than Polanco did in 2012. The speedy center fielder topped the system in stolen bases and finished second in a host of other offensive categories. He has the chance to be a true five-tooler on the field. With a long, lean frame, he’s an aggressive swinger who started to learn the values of plate discipline, making him a much more dangerous hitter. He should hit for average and at least a little power. His plus speed will make him a long-term basestealing threat and an outstanding defensive outfielder.	prospects		2014	OF	OF	65	4	2013	13		Apr. 11, 2009 - PIT	PIT	570256.0	polag001	polangr01	12907.0	2014.0	2019.0
23	gausman	kevin	592332	2013	{'Fastball': '7', 'Curveball': '4', 'Changeup': '6', 'Control': '4', 'Overall': '5'}	What a difference two years can make. Coming out of high school, Gausman was a highly thought of pitcher with a ton of arm strength, but little else. After two seasons at LSU, he emerged as the top college arm taken in the 2012 Draft. He still has the power, his fastball is an easy plus pitch, but he’s learned a lot more about his overall craft. He backs up his heater with another plus pitch, a changeup, which fades and sinks. His breaking stuff has always lagged behind a bit as he toyed with both a curve and slider in college, with the latter likely being the better option going forward. Improving that, along with his overall command, are all he needs to be a frontline starter in the big leagues in the near future.	prospects	2012, 1st (4) - BAL	2013	RHP	RHP	37	2	2013	14			BAL	592332.0	gausk001	gausmke01	14107.0	2013.0	2019.0
24	bundy	dylan	605164	2013	{'Fastball': '7', 'Curveball': '5', 'Changeup': '6', 'Control': '5', 'Overall': '5'}	It's not often that a pitcher makes it to the big leagues in his first full season as a professional. It's even less common when one taken out of high school does it, but that's exactly what Bundy accomplished in 2012. The Oklahoma prep product started the year in the South Atlantic League and finished it in Baltimore. Along the way, he showed an ability to throw several pitches for strikes. His fastball is easily plus, thrown up to 98 mph, and he maintains velocity deep into his starts with a clean and easy delivery. His curve should be at least above-average in the future, though he's still learning to throw it consistently. He has good arm speed on his changeup, which should be another above-average or better pitch. He looks every bit the top of the rotation starter the Orioles hoped they were getting when they gave him a Major League contract.	prospects	2011, 1st (4) - BAL	2014	RHP	RHP	2	1	2013	15			BAL	605164.0	bundd001	bundydy01	12917.0	2012.0	2019.0
